Category,Item,Description,Price,Combo Price
Classic Burgers,CLASSIC BURGER,* Beef patty * Relish * With Our Signature Sauce.,R64.90,R74.90
Classic Burgers,CHEESE BURGER,* Beef Patty * Cheese & Our Signature Sauce.,R65.90,R75.90
Classic Burgers,MACON BURGER,* Beef Patty * Macon & Cheese With Our Signature Sauce.,R65.90,R75.90
Classic Burgers,MACON EGG & CHEESE,* Beef Patty * Egg * Cheese & Our Signature Sauce.",R69.90,R79.90
Classic Burgers,CHICKEN BURGER,* Chicken Burger * With Our Signature Sauce.,R69.90,R79.90
Classic Burgers,CHICKEN MACON & AVO,* Chicken * Macon * Avo & Our Signature Sauce.",R71.90,P81.90
Classic Burgers,DAGWOOD BURGER,* Double Patty * Egg * Macon * Cheese * Ham & Our Signature Sauce.",R94.90,R104.90
Saucy Burgers,SAUCY CHEESE,* Beef Patty * Cream Cheese & Our Signature Sauce.,R71.90,R81.90
Saucy Burgers,BBQ BURGER,* Beef Patty Basted in BBQ Sauce.,R71.90,R81.90
Saucy Burgers,SWEET CHILLI,* Beef Patty * Cheese & Sweet Chilli.,R71.90,R81.90
Saucy Burgers,MUSHROOM,* Beef Patty with Mushrooms.,R71.90,R81.90
Saucy Burgers,DOUBLE BURGER,* Double Patty with our Signature Sauce.,R71.90,R81.90
Saucy Burgers,HAWAIIAN BURGER,* Beef Patty * Cheese & Pineapple With Our Signature Sauce.,R71.90,R81.90
