Category,Item,Description,Price
Kiddies Menu,KIDDIES BURGER, * Beef patty * No Garnish & with Our Signature Sauce.,R45.90
Kiddies Menu,CHEESE BURGER, * Beef patty * Cheese * No Garnish & Our Signature Sauce.,R45.90
Kiddies Menu,CHICKEN BURGER, * Chicken Patty * Cheese * No Garnish & Our Signature Sauce.,R49.90

Toasties Menu,CHEESE,* Cheddar Cheese * Small Chips.,R39.90
Toasties Menu,CHICKEN MAYO,* Chicken Mayo * Small Chips.,R39.90

Chips Menu,CHIPS AND NUGGETS,* 6 Chicken Nuggets * Small Chips.,R49.90
Chips Menu,CHIPS AND VIENNA,* 2 Vienna's * Small Chips.,R49.90
Chips Menu,CHICKEN STRIPS & CHIPS,* 4 Chicken Strips * Small Chips.,R59.90
