Category,Item,Description,Price
Slap Chips,CHIPS MINI (200G),,R24.90
Slap Chips,CHIPS SMALL (320G),,R34.90
Slap Chips,CHIPS MED (470G),,R45.90
Slap Chips,CHIPS LARGE (750G),,R68.90
Slap Chips,FAMILY CHIPS (1.2KG),,R91.90

Combos,RUSSIAN & CHIP ROLL,* Russian * Chips & Roll,R32.90
Combos,RUSSIAN & (MIN) CHIPS,* Russian & Chips 200g,R34.90
Combos,RUSSIAN (S) CHIPS,* Russian & Chips 320g,R40.90
Combos,RUSSIAN & (M) CHIPS,* Russian & Chips 470g,R88.90
Combos,HAKE & (S) CHIPS,"Hake & Chips 320g,R64.90
Combos,HAKE & (M) CHIPS,"Hake & Chips 470g,R82.90
Combos,FAMILY MEAL,* 4 Russians * Fam Chips * 4 Rolls,R159.90
Combos,CHEESE GRILLER MEAL,* 4 Cheese Grillers * Fam Chips * 4 Rolls,R199.90

Extras,RUSSIAN,,R20.00
Extras,VIENNA,,R7.00
Extras,HAKE,,R38.00
Extras,CHEESE GRILLER,,R40.00
